	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-YOL136C	gene-YOL136C	1160.43896362789	5.70730204428535	0.416379937160383	13.7069573601645	9.22456996928736e-43	3.57421337743321e-40
gene-YER127W	gene-YER127W	730.701936765397	5.98033085789403	0.441273302921437	13.5524420315062	7.66374597935907e-42	2.78385572700218e-39
gene-YLR180W	gene-YLR180W	1930.66985394137	6.78031215715708	0.503972362152039	13.4537380744533	2.92693534652673e-41	1.00066754317726e-38
gene-YCR072C	gene-YCR072C	701.05391549194	5.89494299728356	0.439050752784674	13.4265639220408	4.22568215433796e-41	1.36442581561179e-38
gene-YNL141W	gene-YNL141W	2900.84297940906	6.47313923692778	0.482296612777607	13.4214901482475	4.52521486571973e-41	1.38423941050332e-38
gene-YML043C	gene-YML043C	522.191508267393	6.4139852489214	0.481894328157791	13.309941358806	2.02640723494469e-40	5.88873942474926e-38
gene-YMR300C	gene-YMR300C	1596.52769738779	5.821963150756	0.439575482692073	13.2445128993564	4.85421015428932e-40	1.34346044841569e-37
gene-YEL026W	gene-YEL026W	2038.49812483679	5.36791764947263	0.409763477773579	13.1000392681135	3.29087355220791e-39	8.69388958428743e-37
gene-YOR359W	gene-YOR359W	477.945924501065	6.35696661366003	0.48621775692539	13.0743201438353	4.61673044343755e-39	1.16662771031561e-36
gene-YHR066W	gene-YHR066W	1305.51878097384	5.58287922317847	0.428109064226108	13.0407872425468	7.17127330051917e-39	1.73664335094239e-36
gene-YGR079W	gene-YGR079W	1514.38027562165	5.32835399598833	0.40928062603036	13.0188278093405	9.56276053702445e-39	2.22315056964744e-36
gene-YIR012W	gene-YIR012W	1539.3778135534	5.33199982733372	0.41462408456094	12.8598410605596	7.57322288666789e-38	1.69290659297361e-35
gene-YOL041C	gene-YOL041C	1901.43930080129	5.68972191443695	0.443825658366023	12.8197228059866	1.27154283566495e-37	2.6393596288874e-35
gene-YJL148W	gene-YJL148W	1277.94006288366	5.22651322499338	0.407676900491561	12.8202339124229	1.26318868182839e-37	2.6393596288874e-35
gene-YLR327C	gene-YLR327C	14476.813845805	-5.02497589252694	0.392678159984802	-12.7966778002663	1.71116425082938e-37	3.42940918131736e-35
gene-YOL151W	gene-YOL151W	10482.8528490074	5.98037302612435	0.470039012063553	12.723141851289	4.39813423874508e-37	8.52065206519546e-35
gene-YBL028C	gene-YBL028C	858.086555634266	5.39167649260215	0.424119500498388	12.712635203678	5.03100117885431e-37	9.43231575854879e-35
gene-YOL080C	gene-YOL080C	383.022529413626	6.2520667088675	0.492059850567311	12.7059070185452	5.4829998326369e-37	9.95849844602676e-35
gene-YDL063C	gene-YDL063C	1078.81969040012	5.56272406433339	0.439076057430193	12.669158270416	8.76498526750586e-37	1.5436998295377e-34
gene-YML018C	gene-YML018C	802.136865039722	5.83720828418179	0.461165482631987	12.6575134176725	1.01668859564933e-36	1.73793944644527e-34
gene-YHR196W	gene-YHR196W	1195.97280606714	5.15826105743646	0.408087990508169	12.6400707137036	1.26939738180845e-36	2.10792502373448e-34
gene-YNR060W	gene-YNR060W	1990.41838829143	6.43185922202502	0.511052258525415	12.5855215679575	2.53661803734799e-36	4.09522889807403e-34
gene-YPL212C	gene-YPL212C	1385.38382215345	5.22745302480146	0.418701382182224	12.4849194372289	9.0234627465529e-36	1.41741528332339e-33
gene-YBL039C	gene-YBL039C	2044.41578406199	6.18479338271991	0.496510753246939	12.4565144707831	1.28881436924936e-35	1.97120766159928e-33
gene-YLR264C-A	gene-YLR264C-A	400.248635981582	6.38284723747451	0.513761955166445	12.4237444467967	1.94252227464962e-35	2.89485627186246e-33
gene-YJR063W	gene-YJR063W	779.813087802612	5.28313891849568	0.425401745708524	12.4191754542436	2.05670263620464e-35	2.98838893040534e-33
gene-YDR037W	gene-YDR037W	4853.79395847213	5.21348113390572	0.423782358624674	12.3022608841608	8.80738669056928e-35	1.24850076696558e-32
gene-YNL182C	gene-YNL182C	617.684630765346	5.51250066732519	0.453063536173128	12.1671691213276	4.64928684161783e-34	6.43372741035306e-32
gene-YDR449C	gene-YDR449C	839.750805240849	5.17949173691496	0.427101561298562	12.1270728235392	7.59147581673998e-34	1.02608505690448e-31
gene-YMR093W	gene-YMR093W	864.330009172749	5.18753148030659	0.429616202860649	12.074804082725	1.43505627294594e-33	1.89557887690041e-31
gene-YLR224W	gene-YLR224W	721.5466455588	5.09717943420429	0.422221596117067	12.0722849827677	1.47967786553262e-33	1.91108616766124e-31
gene-YJL069C	gene-YJL069C	727.916760733359	5.18254207382685	0.430622219678302	12.0350084993257	2.32610069369007e-33	2.93897765907102e-31
gene-YKR097W	gene-YKR097W	21617.210237944	-4.70702265033623	0.39281637202517	-11.9827557748398	4.37533452850438e-33	5.41052005950372e-31
gene-YBR105C	gene-YBR105C	2415.01360891287	4.91950199331661	0.415084786988521	11.8518002767773	2.1061680628806e-32	2.55021849613792e-30
gene-YNL248C	gene-YNL248C	1315.18220278787	5.28812159350005	0.448580088919743	11.7885785038626	4.47022266207819e-32	5.30223145142825e-30
gene-YER049W	gene-YER049W	1370.18525632081	5.21567303318953	0.443229681645681	11.7674272486087	5.74499239771839e-32	6.67797916310786e-30
gene-YKL078W	gene-YKL078W	495.007340736861	6.07743421813996	0.517058421697353	11.7538637088426	6.74621607124761e-32	7.68804074629237e-30
gene-YGR128C	gene-YGR128C	841.037337047008	4.91001540681314	0.422144316168052	11.6311299684976	2.86282586242902e-31	3.19975844469951e-29
gene-YJL025W	gene-YJL025W	239.388199924515	6.30541817072111	0.54423454998421	11.585846894329	4.86137952205612e-31	5.33100712871513e-29
gene-YPL068C	gene-YPL068C	278.55232555132	6.2910896780073	0.544124674854454	11.5618533191682	6.4305721880111e-31	6.92120102902232e-29
gene-YNL075W	gene-YNL075W	802.699465240076	4.95559215248997	0.429072789716695	11.5495372143314	7.42189995944227e-31	7.84292410259609e-29
gene-YLR413W	gene-YLR413W	655.780662518778	5.39410951128242	0.469368339558484	11.4922738852741	1.4426382716566e-30	1.49725243479789e-28
gene-YKR092C	gene-YKR092C	2179.86669228846	5.46349238811184	0.475654138296669	11.4862711121925	1.54644059812687e-30	1.57682679935322e-28
gene-YKL029C	gene-YKL029C	5048.16510968938	5.54757255295558	0.485709636531597	11.4215822287782	3.2623976482502e-30	3.21373815790342e-28
gene-YIL053W	gene-YIL053W	34470.0906615795	5.21745868525698	0.456770104084638	11.4225047537047	3.22794498206581e-30	3.21373815790342e-28
gene-YGL035C	gene-YGL035C	649.888335437358	5.3312268752376	0.46705802569818	11.4144851001505	3.53994091527241e-30	3.42902276659387e-28
gene-YOR226C	gene-YOR226C	580.407505464329	6.33518574482629	0.556713757420046	11.3796105456153	5.28351486472669e-30	5.03406367111336e-28
gene-YGL120C	gene-YGL120C	1323.25168596768	5.13899416187381	0.452609844129075	11.3541369648343	7.07349122239534e-30	6.63082757815512e-28
gene-YHR085W	gene-YHR085W	377.949312021591	5.59680205247065	0.493250721990523	11.3467691033166	7.69539540138147e-30	7.0993076306078e-28
gene-YOR004W	gene-YOR004W	599.98472001834	4.87227811207645	0.430707232958109	11.312273719235	1.14093978291834e-29	1.03611594036272e-27
gene-YLR435W	gene-YLR435W	394.342815569313	5.34538267122257	0.476148247689648	11.2262991561121	3.02901576733507e-29	2.7084060984233e-27
gene-YPL081W	gene-YPL081W	1679.08881599988	4.75732063350629	0.424196589105831	11.2148960073778	3.44591203884043e-29	3.03449102571827e-27
gene-YER073W	gene-YER073W	875.422391781474	6.17741099883662	0.551513418607719	11.2008353567014	4.03906733687914e-29	3.50374020327486e-27
gene-YNL110C	gene-YNL110C	1231.38295082229	4.64896428437532	0.415403394605813	11.1914450982926	4.49054594667001e-29	3.83809603559502e-27
gene-YGR208W	gene-YGR208W	416.202219078678	6.12355408959443	0.547244063798689	11.1898045034748	4.57441086833191e-29	3.85311245894856e-27
gene-YMR081C	gene-YMR081C	2811.65853791094	-4.79343981838314	0.4287472107916	-11.1801072933698	5.10282565306457e-29	4.23680324223018e-27
gene-YNL299W	gene-YNL299W	234.928891036146	5.85041519841037	0.524487672985531	11.1545332707405	6.80489686283159e-29	5.57043106574327e-27
gene-YPR137W	gene-YPR137W	907.380194332538	4.62072226745077	0.415972658389555	11.1082355396626	1.14397594509501e-28	9.23442804568359e-27
gene-YFL034C-A	gene-YFL034C-A	1134.86212589547	5.38446689598598	0.485478220586464	11.0910575751091	1.38638917903465e-28	1.10379368610265e-26
gene-YNR053C	gene-YNR053C	1315.06630073475	4.53918795014777	0.409361802295643	11.0884501795054	1.42739266742036e-28	1.12108191662799e-26
gene-YIL079C	gene-YIL079C	350.975868047185	5.18477105242485	0.468211106639218	11.073575528015	1.68539002518616e-28	1.30606491018426e-26
gene-YKR081C	gene-YKR081C	1338.40450729936	4.5406414980163	0.41088421903065	11.0509026331761	2.17021742889434e-28	1.65964522325446e-26
gene-YNL113W	gene-YNL113W	1030.64649367106	4.60157417088964	0.416551589851541	11.0468289714838	2.27095305110214e-28	1.7141271601306e-26
gene-YHR052W	gene-YHR052W	1667.91978291348	4.50716424490509	0.408304791321953	11.0387248464864	2.48535112659779e-28	1.85190522407518e-26
gene-YDR342C	gene-YDR342C	2154.05059200441	-4.5064083779963	0.409683509457469	-10.9997309483215	3.83273747471355e-28	2.81973040544749e-26
gene-YHR208W	gene-YHR208W	5097.14893918229	4.82267850448614	0.44023965464989	10.9546662903901	6.31105478860263e-28	4.58498130391981e-26
gene-YHR022C	gene-YHR022C	392.558156963748	6.18968552488054	0.565320922749431	10.9489765472983	6.72026156180711e-28	4.82199508607691e-26
gene-YPL030W	gene-YPL030W	463.137119563909	5.04516008103245	0.463020152070303	10.8961997841217	1.2017212816112e-27	8.51756596185892e-26
gene-YOR108W	gene-YOR108W	894.326239233582	5.25946475382485	0.483851099346476	10.8700068283996	1.60188859465379e-27	1.12170801350938e-25
gene-YLR022C	gene-YLR022C	658.94349712751	4.57372706575567	0.421036980527882	10.8630055726252	1.7296106293529e-27	1.19672583069036e-25
gene-YPL093W	gene-YPL093W	3491.41401252853	4.59292482182119	0.423549323983462	10.8438960039528	2.13194150469356e-27	1.45774635591517e-25
gene-YLL011W	gene-YLL011W	916.240623635357	4.53954433942539	0.420396260656397	10.7982509938063	3.50822458613107e-27	2.37090712727835e-25
gene-YLR186W	gene-YLR186W	1341.9442556798	5.31460398615225	0.492384756910355	10.7935997440308	3.6904499135052e-27	2.46539021807957e-25
gene-YAL012W	gene-YAL012W	1373.86219387232	4.74652081444876	0.442800303032019	10.7193260301485	8.2603038704139e-27	5.45555523805064e-25
gene-YLL034C	gene-YLL034C	583.698046634831	4.57049266791625	0.426663314034296	10.712176363841	8.92388585810961e-27	5.82759827048686e-25
gene-YOR233W	gene-YOR233W	298.271776189011	5.19416555297931	0.485856081814698	10.6907492720454	1.12458754985869e-26	7.26233648864303e-25
gene-YNL124W	gene-YNL124W	792.711499851646	5.08504054362804	0.476766821967587	10.6656761950053	1.47323486184825e-26	9.40927584292529e-25
gene-YGR264C	gene-YGR264C	1302.09883898865	4.40717033166539	0.413523058363516	10.6576168910784	1.60661452328704e-26	1.01496126188525e-24
gene-YKL023C-A	gene-YKL023C-A	403.72628844055	4.66205808292404	0.437545486174852	10.6550249750742	1.65200317127917e-26	1.03241316467468e-24
gene-YOR375C	gene-YOR375C	6564.16657473163	4.65751823188312	0.437512619829273	10.6454488871672	1.83099611843852e-26	1.13210100429412e-24
gene-YDR101C	gene-YDR101C	1447.32630046745	4.59386456022724	0.431812043533095	10.6385744191851	1.97122140706004e-26	1.20597250714031e-24
gene-YCR021C	gene-YCR021C	60779.4743553479	-4.45080453595742	0.418637152178566	-10.6316520471145	2.12317674424579e-26	1.28540658724547e-24
gene-YNL117W	gene-YNL117W	7960.13512910279	-4.79076069805583	0.451373441777052	-10.6137407624043	2.57239420896437e-26	1.54131496314442e-24
gene-YAL025C	gene-YAL025C	1354.27849099017	4.50043866655006	0.425368457342667	10.5800949479538	3.68584523493156e-26	2.18593188830839e-24
gene-YOR145C	gene-YOR145C	2259.12141737695	4.18842996183154	0.395949890480605	10.5781818925309	3.76186966854864e-26	2.2084834862227e-24
gene-YCL054W	gene-YCL054W	964.070160804595	4.40102232950073	0.416257142352176	10.5728452000404	3.98226332353168e-26	2.31449144363661e-24
gene-YNR001C	gene-YNR001C	5102.80230045026	-4.34695288476919	0.412235649996798	-10.544825234797	5.36725512111788e-26	3.08856304593437e-24
gene-YKR024C	gene-YKR024C	642.152625729081	4.83566654859547	0.458685627539719	10.5424418343623	5.50506448476268e-26	3.13680733190595e-24
gene-YPR060C	gene-YPR060C	422.649741880573	5.11192196149372	0.485531454042504	10.528508336447	6.38380435207433e-26	3.60220105769476e-24
gene-YCL036W	gene-YCL036W	482.528957397694	4.82191523598652	0.460197467738707	10.47792648595	1.09109693057424e-25	6.09755323124756e-24
gene-YER056C	gene-YER056C	4203.28119979147	4.24943669025915	0.405996764794024	10.4666762367307	1.22882088723926e-25	6.80181618727102e-24
gene-YGR187C	gene-YGR187C	803.409889635003	4.54919357340707	0.435378926425482	10.4488143483575	1.48368412804818e-25	8.13506806812831e-24
gene-YJR124C	gene-YJR124C	302.994753700608	5.29209783237269	0.507440872656006	10.4289940317051	1.82813442253462e-25	9.9300161343656e-24
gene-YDL167C	gene-YDL167C	521.304099150467	4.49011658932187	0.431169376843417	10.4138114403994	2.14459580758177e-25	1.15411026237641e-23
gene-YML080W	gene-YML080W	288.736587428305	5.03103737564703	0.484206478968597	10.3902727331604	2.74566856103645e-25	1.46402070428843e-23
gene-YOR078W	gene-YOR078W	905.07454192647	4.23789610265822	0.408392976897793	10.377005341399	3.15517340967073e-25	1.66707889609148e-23
gene-YHR169W	gene-YHR169W	483.296203123151	4.45533244012793	0.429509267631043	10.3730763824988	3.28766810362198e-25	1.7214348665091e-23
gene-YBL081W	gene-YBL081W	355.756502074109	4.72095433926412	0.455354163463549	10.3676538353251	3.47962981277756e-25	1.78969986476665e-23
gene-YLR363W-A	gene-YLR363W-A	425.887532486308	4.66047874061512	0.449499557071543	10.3681497952474	3.46162061021648e-25	1.78969986476665e-23
gene-YDR321W	gene-YDR321W	470.345163292001	4.75645602207498	0.459261786569813	10.3567424095973	3.90019484704497e-25	1.98841512728293e-23
gene-YBR195C	gene-YBR195C	207.260331022727	5.2166910852174	0.504071852576429	10.3491021340582	4.22428706722084e-25	2.1349179508424e-23
gene-YKL068W-A	gene-YKL068W-A	235.156385404665	5.10708246382009	0.495633643934563	10.3041480866346	6.74869574961196e-25	3.38132928420213e-23
gene-YBR169C	gene-YBR169C	4155.78434593995	-4.14166942598112	0.402047293922432	-10.3014483335391	6.94083161396468e-25	3.44787293507374e-23
gene-YPL211W	gene-YPL211W	929.456593943496	4.82132828213465	0.46852325358809	10.2904781037259	7.77891565665981e-25	3.83144557597515e-23
gene-YPR010C	gene-YPR010C	2469.76004467982	4.4925180691291	0.438823620603074	10.2376395850229	1.3447714350938e-24	6.5679088913993e-23
gene-YLL012W	gene-YLL012W	332.27446671612	4.61276300444696	0.450970757680633	10.2285190910618	1.4776157561639e-24	7.15658564568718e-23
gene-YBR034C	gene-YBR034C	963.482007648113	4.48643426212564	0.440521445811426	10.184371963689	2.32858588835156e-24	1.11013075317195e-22
gene-YCL040W	gene-YCL040W	5518.88118293252	-4.02833555764841	0.39554364031685	-10.1843011669244	2.3302813469886e-24	1.11013075317195e-22
gene-YDR528W	gene-YDR528W	159.994202341775	5.93431873699093	0.584704955899075	10.149253357817	3.33908187783977e-24	1.56505998983909e-22
gene-YJR073C	gene-YJR073C	5526.21064546257	-4.00876344498251	0.394979539529821	-10.149293934958	3.33769393495654e-24	1.56505998983909e-22
gene-YJR097W	gene-YJR097W	267.139601781572	4.82490166481951	0.475551854140063	10.145900226894	3.45577362121485e-24	1.60679650292006e-22
gene-YPL231W	gene-YPL231W	4932.05286880944	-4.10028316848389	0.40437999418585	-10.1396785880545	3.68309392550067e-24	1.69890015039761e-22
gene-YDL060W	gene-YDL060W	1256.13753907376	4.12136905334017	0.406561178645655	10.1371436079297	3.77990623339916e-24	1.72982795500125e-22
gene-YDR343C	gene-YDR343C	1003.73246107496	-4.29045292034899	0.423475750875574	-10.1315197186099	4.00377706693784e-24	1.81796502445646e-22
gene-YNL175C	gene-YNL175C	920.417959303382	4.5832461960274	0.453595900809217	10.1042495927562	5.28989902103797e-24	2.38332504730796e-22
gene-YBR187W	gene-YBR187W	833.446489821628	5.03976231201157	0.499316855853975	10.0933150021385	5.91379471257056e-24	2.63756114543841e-22
gene-YDL014W	gene-YDL014W	4115.44888587621	4.68341103032031	0.464034888600212	10.0927993678408	5.94495027619462e-24	2.63756114543841e-22
gene-YEL011W	gene-YEL011W	3247.78568239694	-4.42618810951843	0.438656206665518	-10.0903350784991	6.09610671983878e-24	2.68413426179568e-22
gene-YGL029W	gene-YGL029W	807.077025624608	5.13943023501029	0.510134832230435	10.0746506811531	7.1514458751809e-24	3.12512807718432e-22
gene-YLR002C	gene-YLR002C	494.691352285419	4.45191590423204	0.442042086268546	10.0712489659354	7.4031917194911e-24	3.21099628908077e-22
gene-YPL126W	gene-YPL126W	1224.47543699504	4.46163860000028	0.443906788329708	10.0508456218661	9.10824423785053e-24	3.92126781558424e-22
gene-YGL157W	gene-YGL157W	238.246226640256	5.40412588017547	0.537998777168552	10.0448664746358	9.67786576007688e-24	4.13586439687991e-22
gene-YOL077C	gene-YOL077C	1626.42851513732	4.53005143568212	0.451018468913002	10.0440486319773	9.75847429878643e-24	4.13987245434648e-22
gene-YNR054C	gene-YNR054C	550.280108978302	4.25613052793401	0.424258816489082	10.0319200509615	1.1034955076216e-23	4.64747528282371e-22
gene-YDL039C	gene-YDL039C	374.159073018775	4.57857933311284	0.4571417727474	10.0156660494966	1.30082722088265e-23	5.43914230774819e-22
gene-YLR333C	gene-YLR333C	2603.44631819417	3.98577924472668	0.398319569409643	10.006486125284	1.42732324677136e-23	5.92543050731081e-22
gene-YDR496C	gene-YDR496C	1260.72304667901	4.4177278388587	0.441868538198746	9.99783296830169	1.55768342126642e-23	6.4207489676599e-22
gene-YPR110C	gene-YPR110C	1393.64529252395	4.06046068554881	0.406218008727251	9.99576729321013	1.59050657073418e-23	6.509876189512e-22
gene-YIL104C	gene-YIL104C	296.998312782605	4.63761257173953	0.464545303276981	9.98312228974231	1.80689658334625e-23	7.34383422546041e-22
gene-YMR186W	gene-YMR186W	8250.20615559755	-3.87656363203403	0.389494213101369	-9.95281444919729	2.45150119225679e-23	9.89453120096975e-22
gene-YLR051C	gene-YLR051C	635.113590285908	4.16667900683093	0.419052805226788	9.94308820955383	2.70314419097683e-23	1.08349476123844e-21
gene-YDR222W	gene-YDR222W	940.779648403442	4.20671362492354	0.423180489372535	9.94070787895015	2.76852703568372e-23	1.10210131036944e-21
gene-YOR047C	gene-YOR047C	205.033895296957	5.16189147059224	0.520840354979477	9.91069801186131	3.74023866906202e-23	1.47879368330534e-21
gene-YLR174W	gene-YLR174W	1448.72825416274	-4.43507602280761	0.447706347591458	-9.9062165338221	3.91179938836956e-23	1.53617419224351e-21
gene-YDR299W	gene-YDR299W	998.03665130381	3.99719362112056	0.403793575115589	9.89910158916306	4.20031226496225e-23	1.63840368348729e-21
gene-YHR021W-A	gene-YHR021W-A	164.719812877241	6.13715037524045	0.620186138826285	9.89565872409715	4.34738844477094e-23	1.6755086925668e-21
gene-YBR267W	gene-YBR267W	1097.09798005934	4.04223113253208	0.408490717756672	9.89552750361377	4.35309381585662e-23	1.6755086925668e-21
gene-YGR008C	gene-YGR008C	3073.982640366	-4.67234300719266	0.474259487178452	-9.85187040746444	6.72800739489236e-23	2.57257756441542e-21
gene-YNR034W-A	gene-YNR034W-A	8244.29964755904	-3.87046181141009	0.393052020223957	-9.84719989278961	7.04801699289872e-23	2.65993991965762e-21
gene-YDR171W	gene-YDR171W	8892.34606480991	-4.09570840491003	0.415903085895486	-9.84774709255043	7.00975876906337e-23	2.65993991965762e-21
gene-YJR070C	gene-YJR070C	2608.69069967511	4.3339670432318	0.440461050009527	9.83961474717927	7.60013048767207e-23	2.81455490610484e-21
gene-YKL024C	gene-YKL024C	914.468145770108	4.26422959659476	0.433336326374199	9.8404618700544	7.53640515503624e-23	2.81455490610484e-21
gene-YFR015C	gene-YFR015C	887.894152885535	-4.21072858643056	0.42793796574527	-9.83957704967219	7.6029786692784e-23	2.81455490610484e-21
gene-YNL077W	gene-YNL077W	2131.07071201347	-3.96146286863208	0.402682248034314	-9.83768936418202	7.74695944514492e-23	2.84970432247989e-21
gene-YNL123W	gene-YNL123W	620.107886300597	4.33390226617042	0.440882731221221	9.8300567458511	8.3571671532151e-23	3.0548336788985e-21
gene-YNL015W	gene-YNL015W	3243.25107417471	-4.02722114261178	0.410631227559799	-9.80739133393187	1.04638634651653e-22	3.8009984037213e-21
gene-YGR090W	gene-YGR090W	655.636521472138	4.0784451178197	0.416497612946075	9.79224127833777	1.21570691675463e-22	4.38862645973782e-21
gene-YPL240C	gene-YPL240C	10681.1104695208	-4.10270249858792	0.41907920950218	-9.78980203637752	1.24539479975265e-22	4.46804603466814e-21
gene-YCL064C	gene-YCL064C	1445.48201949701	-4.01034640211515	0.41251004340844	-9.72181518049579	2.43403149175836e-22	8.67889020251507e-21
gene-YBR155W	gene-YBR155W	458.659754846243	4.17624343793594	0.429743524875044	9.71799037379392	2.52719821422918e-22	8.95614391530487e-21
gene-YIL118W	gene-YIL118W	640.18577407271	4.69030705926123	0.482787509234985	9.71505469703097	2.60109336121349e-22	9.16215431234717e-21
gene-YNL194C	gene-YNL194C	2111.3277143623	-4.45417335321873	0.458915474023801	-9.70586873910405	2.84641037231545e-22	9.96586571319122e-21
gene-YLR304C	gene-YLR304C	5993.05084367488	-3.9873843817898	0.411044071657498	-9.7006249614817	2.99657464675733e-22	1.04287975131459e-20
gene-YOL010W	gene-YOL010W	666.481863993326	4.16638635317874	0.429554800253987	9.69931275524156	3.03536219675318e-22	1.05009077901961e-20
gene-YGR081C	gene-YGR081C	441.980937406117	4.18071665411023	0.43129044279816	9.69350636890132	3.213043331785e-22	1.10498271268251e-20
gene-YCR057C	gene-YCR057C	1013.678769626	4.19111147817142	0.432721110390318	9.68547957919363	3.47573412571889e-22	1.18829216109872e-20
gene-YNR016C	gene-YNR016C	3127.54670011174	-3.85485335417621	0.398205688674397	-9.68055822358739	3.64719083341039e-22	1.23961831133223e-20
gene-YOL016C	gene-YOL016C	1512.94203448346	-4.04931965659129	0.418519658969493	-9.67533918612522	3.8381678865917e-22	1.29694370679482e-20
gene-YIL155C	gene-YIL155C	6255.82620663105	-4.54835340649683	0.471303932908222	-9.65057384187486	4.88814229698138e-22	1.64218977052346e-20
gene-YMR229C	gene-YMR229C	1930.0648060323	4.04269820049874	0.419085904119533	9.64646665697843	5.08786137609386e-22	1.69946266194584e-20
gene-YIL169C	gene-YIL169C	2963.7664820851	-4.09941426841896	0.424998716686023	-9.64570975739556	5.12553835821838e-22	1.70226451074087e-20
gene-YDR324C	gene-YDR324C	840.164743349774	4.12813823452786	0.428076487325965	9.64345942080305	5.23919408771557e-22	1.73012477487517e-20
gene-YBR021W	gene-YBR021W	789.855404211334	4.51892006014109	0.46975335639549	9.61977173471553	6.59774134868183e-22	2.16644478635812e-20
gene-YBR247C	gene-YBR247C	890.388202181612	3.91454881619207	0.408894094727221	9.57350293553033	1.03343591799376e-21	3.37434244684256e-20
gene-YPL012W	gene-YPL012W	1253.43968398558	4.2683298198298	0.44706975042806	9.54734650631801	1.33060635286385e-21	4.32038219153334e-20
gene-YGL009C	gene-YGL009C	5118.35078653786	4.95783004924294	0.519679699893704	9.54016493285579	1.42605334756152e-21	4.6045678089042e-20
gene-YBR214W	gene-YBR214W	1586.98130423162	-4.23673407505303	0.44436733333893	-9.53430587081784	1.50891598316886e-21	4.84520425092675e-20
gene-YDL130W-A	gene-YDL130W-A	1483.88380828164	-4.26474735554837	0.447671366680608	-9.52651358332477	1.62654109322366e-21	5.19420705154721e-20
gene-YHR170W	gene-YHR170W	1725.01549828374	3.86740005595093	0.406216004929279	9.52055066521624	1.72263793012632e-21	5.471022759505e-20
gene-YPL226W	gene-YPL226W	2310.10292658534	4.22352142421511	0.443654127170339	9.51985153649548	1.73426647129222e-21	5.47801996258172e-20
gene-YPL004C	gene-YPL004C	3292.9987640965	-3.97754569571733	0.418123185489395	-9.51285610019877	1.85498253284629e-21	5.82765323292035e-20
gene-YPL245W	gene-YPL245W	404.009363783297	4.99478257690371	0.525246875631822	9.50939988152327	1.91765595201626e-21	5.99215935113897e-20
gene-YLL008W	gene-YLL008W	1387.66180331325	4.1316403382497	0.434700893198276	9.50455911845842	2.00897191645477e-21	6.24392768900275e-20
gene-YER126C	gene-YER126C	1730.34666264809	3.76897958463498	0.396894951770766	9.49616408024212	2.1776451433378e-21	6.73216679419111e-20
gene-YDR399W	gene-YDR399W	2786.9307315216	4.42756803826635	0.466409377568914	9.49287954145423	2.24738623580856e-21	6.91100994842295e-20
gene-YGL225W	gene-YGL225W	414.567961461485	4.55521641404414	0.481008489096233	9.47013725808236	2.79476213114363e-21	8.54903026642462e-20
gene-YNL055C	gene-YNL055C	7644.62482225427	-3.83839445105871	0.405710639405269	-9.46091642231865	3.05256003106037e-21	9.28873240865072e-20
gene-YOR306C	gene-YOR306C	593.552507455162	4.29518715793274	0.454698517931978	9.44623082887481	3.51251537056408e-21	1.06326767363117e-19
gene-YGR157W	gene-YGR157W	2079.74087260187	-3.87454644551216	0.410543441086012	-9.43760405783809	3.81400532659981e-21	1.14854916881856e-19
